Q#,Question,Retrieved Source,Answer,Correct/Hallucinated
1,How many days of annual leave do full-time employees get per year?,hr_leave_policy.pdf#p1#c2 (0.56); hr_leave_policy.pdf#p1#c1 (0.53); hr_leave_policy.pdf#p1#c0 (0.52); hr_leave_policy.pdf#p1#c3 (0.51); hr_leave_policy.pdf#p3#c2 (0.48),"Full-time employees accrue 1.75 days of annual leave per month, which equals 21 days per year [S1][S3].",Correct
2,"What is the maximum nightly hotel cost in Tier-1 cities such as New York, London and Singapore?",expense_policy.pdf#p1#c1 (0.80); expense_policy.pdf#p1#c2 (0.45); expense_policy.pdf#p3#c0 (0.40); expense_policy.pdf#p1#c3 (0.32); remote_work_policy.txt#c5 (0.30),"The maximum nightly hotel cost in Tier-1 cities, such as New York, London, and Singapore, is $260 per night, as stated in [S1] (page 1).",Correct
3,How many operating hours are there between full inspections of the HX-200?,engineering_handbook.md#c4 (0.54); warranty_and_support.pdf#p2#c2 (0.52); warranty_and_support.pdf#p3#c0 (0.52); onboarding_guide.txt#c2 (0.51); customer_faq.txt#c5 (0.51),I don't know based on the provided documents.,Missed (false refusal)
4,Within how many hours must a critical vulnerability be patched?,security_policy.pdf#p3#c0 (0.55); security_policy.pdf#p3#c1 (0.50); engineering_handbook.md#c5 (0.46); incident_runbook.md#c6 (0.43); incident_runbook.md#c7 (0.40),"According to [S1], critical vulnerabilities must be patched within 72 hours.",Correct
5,How quickly must the on-call engineer respond to a SEV1 incident?,incident_runbook.md#c6 (0.73); incident_runbook.md#c0 (0.68); incident_runbook.md#c7 (0.62); incident_runbook.md#c2 (0.61); incident_runbook.md#c4 (0.55),Within 15 minutes; acknowledge the page within 5 minutes [S1].,Correct
6,How long is the standard warranty for the HX-200?,warranty_and_support.pdf#p3#c0 (0.67); warranty_and_support.pdf#p1#c0 (0.60); warranty_and_support.pdf#p2#c1 (0.57); customer_faq.txt#c5 (0.54); warranty_and_support.pdf#p1#c1 (0.51),"The standard warranty for the HX-200 is 24 months from the delivery date, as stated in [S1] and [S2].",Correct
7,What is the list price of one HX-200 robot?,customer_faq.txt#c1 (0.67); hx200_manual.pdf#p1#c1 (0.58); hx200_manual.pdf#p1#c0 (0.55); customer_faq.txt#c3 (0.54); warranty_and_support.pdf#p1#c0 (0.52),"The list price of one HX-200 robot is $24,500 per robot, excluding taxes, freight, and optional accessories. [S1]",Correct
8,What minimum test coverage is required for new code?,engineering_handbook.md#c7 (0.57); engineering_handbook.md#c6 (0.39); engineering_handbook.md#c2 (0.38); engineering_handbook.md#c3 (0.33); engineering_handbook.md#c4 (0.25),The minimum test coverage required for new code is 80%. [S1][S2],Correct
9,How many days per year may an employee work remotely from another country?,remote_work_policy.txt#c2 (0.63); remote_work_policy.txt#c3 (0.54); remote_work_policy.txt#c0 (0.49); remote_work_policy.txt#c4 (0.49); hr_leave_policy.pdf#p1#c0 (0.44),"According to [S1], an employee may work remotely from another country for up to 20 days per calendar year.",Correct
10,How long is the probation period for new hires?,onboarding_guide.txt#c3 (0.69); onboarding_guide.txt#c2 (0.49); hr_leave_policy.pdf#p1#c1 (0.40); onboarding_guide.txt#c4 (0.35); security_policy.pdf#p1#c2 (0.34),"The probation period for new hires is 6 months, with a review after 3 months and a final review at the end of month 6. [S1]",Correct
11,How quickly must a lost or stolen laptop be reported to the security team?,security_policy.pdf#p3#c1 (0.67); security_policy.pdf#p1#c2 (0.49); onboarding_guide.txt#c4 (0.48); remote_work_policy.txt#c4 (0.48); onboarding_guide.txt#c5 (0.47),"According to [S1], employees who report incidents in good faith are never penalized, and a lost or stolen laptop must be reported to the security team within 1 hour of discovering the loss.",Correct
12,What is the annual salary of the CEO of Helios Robotics?,hr_leave_policy.pdf#p1#c0 (0.53); expense_policy.pdf#p2#c0 (0.51); expense_policy.pdf#p1#c0 (0.49); warranty_and_support.pdf#p1#c0 (0.47); warranty_and_support.pdf#p2#c0 (0.44),I don't know based on the provided documents.,Correct
13,Under which stock ticker symbol is Helios Robotics publicly traded?,hx200_manual.pdf#p2#c0 (0.48); engineering_handbook.md#c0 (0.48); warranty_and_support.pdf#p1#c0 (0.47); warranty_and_support.pdf#p2#c0 (0.45); onboarding_guide.txt#c0 (0.44),I don't know based on the provided documents.,Correct
